agency,debtcode,zip,city,state,offset_count,offset_amt,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30228,HAMPTON,GA,2,1921.44,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30236,JONESBORO,GA,1,245,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30238,JONESBORO,GA,3,1506.16,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30253,MCDONOUGH,GA,2,653.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30273,REX,GA,1,8.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30281,STOCKBRIDGE,GA,2,343,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30291,UNION CITY,GA,1,610,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30305,ATLANTA,GA,1,89,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30316,ATLANTA,GA,1,14.13,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30317,ATLANTA,GA,1,70.47,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30318,ATLANTA,GA,2,58,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30324,ATLANTA,GA,5,463.9,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30326,ATLANTA,GA,1,385.74,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30328,ATLANTA,GA,1,5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30331,ATLANTA,GA,1,122,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30339,ATLANTA,GA,2,398,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30349,COLLEGE PARK,GA,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30349,ATLANTA,GA,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30350,SANDY SPRINGS,GA,1,345,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30705,CHATSWORTH,GA,1,114,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30824,THOMSON,GA,1,50.88,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30904,AUGUSTA,GA,1,156,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,31088,WARNER ROBINS,GA,1,31,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,31093,WARNER ROBINS,GA,1,2.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,31411,SAVANNAH,GA,1,7,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32065,ORANGE PARK,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32073,ORANGE PARK,FL,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32117,DAYTONA BEACH,FL,1,6.48,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32162,THE VILLAGES,FL,2,963,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32205,JACKSONVILLE,FL,2,279,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32225,JACKSONVILLE,FL,1,7.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32256,JACKSONVILLE,FL,2,145.73,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32303,TALLAHASSEE,FL,1,9,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32327,CRAWFORDVILLE,FL,1,70,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32459,SANTA ROSA BEACH,FL,1,86,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32514,PENSACOLA,FL,2,212.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32536,CRESTVIEW,FL,1,117,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32563,GULF BREEZE,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32608,GAINESVILLE,FL,1,4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32656,KEYSTONE HEIGHTS,FL,1,432,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32713,DEBARY,FL,1,737,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32725,DELTONA,FL,1,238.37,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32738,DELTONA,FL,1,127,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32746,LAKE MARY,FL,3,328.41,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32778,TAVARES,FL,1,360.08,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32803,ORLANDO,FL,1,67,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32807,ORLANDO,FL,1,3,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32810,ORLANDO,FL,2,719.8,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32814,ORLANDO,FL,1,7.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32819,ORLANDO,FL,1,426,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32825,ORLANDO,FL,1,427,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32826,ORLANDO,FL,1,13.25,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32832,ORLANDO,FL,1,170,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32839,ORLANDO,FL,2,295,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,32960,JOILET,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33009,HALLANDALE BEACH,FL,1,439.2,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33021,HOLLYWOOD,FL,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33023,HOLLYWOOD,FL,2,768.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33025,PEMBROKE PINES,FL,1,3.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33025,MIRAMAR,FL,1,7.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33054,OPA LOCKA,FL,3,415.86,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33131,MIAMI,FL,1,793,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33155,MIAMI,FL,1,122,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33160,SUNNY ISLES BEACH,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33169,MIAMI GARDENS,FL,1,1207.8,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33178,MIAMI,FL,16,6367.32,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33179,NORTH MIAMI BEACH,FL,2,244,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33180,MIAMI,FL,1,119,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33313,SUNRISE,FL,1,30,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33324,PLANTATION,FL,1,88,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33404,RIVIERA BEACH,FL,1,40,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33408,JUNO BEACH,FL,1,0.58,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33409,WEST PALM BEACH,FL,1,23,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33431,BOCA RATON,FL,1,12,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33433,BOCA RATON,FL,1,71,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33486,BOCA RATON,FL,1,416.8,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33534,GIBSONTON,FL,1,161,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33543,WESLEY CHAPEL,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33547,LITHIA,FL,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33578,RIVERVIEW,FL,2,195.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33579,RIVERVIEW,FL,1,199,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33612,TAMPA,FL,4,8.76,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33616,TAMPA,FL,1,386,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33619,TAMPA,FL,1,158.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33701,SAINT PETERSBURG,FL,1,18,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33708,MADEIRA BEACH,FL,1,10,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33716,SAINT PETERSBURG,FL,2,1.54,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33761,CLEARWATER,FL,1,11.84,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33772,SEMINOLE,FL,1,83,,,,,,,,,,,,,,,,,,,,
